page_url,title_upper,model_product,end_date,product_quality,end_status,price,price_mean_live,price_mean_not_sold,price_mean_sold,price_min_live,price_min_not_sold,price_min_sold,price_max_live,price_max_not_sold,price_max_sold,price_count_live,price_count_not_sold,price_count_sold,price_sold_max_dif,price_not_sold_min_dif,price_sold_mean_dif
https://www.ricardo.ch/fr/a/canon-ef-24-70-f-4l-is-usm-1190602908/,CANON EF 24-70MM F4 L IS USM,CANON EF 24-70MM F4.0 L IS USM,2021-12-06,Neuf (Voir description),sold,649.0,549.6666666666666,427.0,451.5,479.0,395.0,361.0,670.0,459.0,649.0,3.0,2.0,4.0,0.0,-254.0,-197.5
https://www.ricardo.ch/fr/a/canon-ef-2.8-70-200-l-1193728688/,CANON EF 2.8 70-200MM L,CANON EF 70-200MM F4.0 L IS USM,2022-01-03,D'occasion,sold,580.0,782.3625,527.875,628.5333333333333,500.0,390.0,330.0,999.9,789.0,1331.0,8.0,8.0,15.0,751.0,-190.0,48.5333333333333
https://www.ricardo.ch/fr/a/canon-ef-s-17-85mm-f-4-5.6-objektiv-1196773766/,CANON EF-S 17-85MM F4-5.6 OBJEKTIV,CANON EF-S 17-85MM F4-5.6 IS USM,2022-02-04,D'occasion,sold,53.0,95.0,154.0,61.5,95.0,99.0,53.0,95.0,199.0,70.0,1.0,4.0,2.0,17.0,46.0,8.5
https://www.ricardo.ch/fr/a/canon-markro-objektiv-ef-100mm-1-2-8-usm-1197089502/,CANON MARKRO OBJEKTIV EF 100MM 1:2-8 USM,CANON EF 100MM F2.8 MACRO,2022-02-03,D'occasion,sold,300.0,350.0,374.9,297.5,350.0,374.9,295.0,350.0,374.9,300.0,1.0,1.0,2.0,0.0,74.89999999999998,-2.5
https://www.ricardo.ch/fr/a/canon-ef-24mm-f-1.4l-usm-ii-neuwertig!-1187938106/,CANON EF 24MM F1.4 L USM II-NEUWERTIG!,CANON EF 24MM F1.4 L II USM,2022-02-12,Neuf (Voir description),live,995.0,923.5,938.5,,749.0,888.0,,1000.0,989.0,,4.0,2.0,,,-107.0,
https://www.ricardo.ch/fr/a/canon-weitwinkel-objektiv-ef17-40mmf4.0l-1192798006/,CANON WEITWINKEL OBJEKTIV EF 17-40MMF4.0 L,CANON EF 17-40MM F4 L USM,2021-12-21,D'occasion,sold,300.0,422.5,329.25,283.3333333333333,345.0,290.0,250.0,500.0,399.0,300.0,2.0,4.0,3.0,0.0,-10.0,-16.666666666666686
https://www.ricardo.ch/fr/a/canon-zoom-ef-100-200mm-f4.5-a-1192222376/,CANON ZOOM EF 100-200MM F4.5 A,CANON EF 100-200MM F4.5,2021-12-29,D'occasion,sold,50.0,,,50.0,,,50.0,,,50.0,,,1.0,0.0,,0.0
https://www.ricardo.ch/fr/a/canon-ef-100mm-f-2.8-l-macro-is-usm-1193739170/,CANON EF 100MM F2.8 L MACRO IS USM,CANON EF 100MM F2.8 L MACRO,2021-12-22,D'occasion,not sold,649.0,663.0,666.0,646.0,350.0,649.0,470.0,1090.0,680.0,1599.0,6.0,3.0,12.0,950.0,0.0,-3.0
https://www.ricardo.ch/fr/a/canon-ef-4-5.6-28-105-mm-1194352440/,CANON EF  4-5.6 / 28-105MM,CANON EF 28-105MM F4-5.6,2022-01-09,D'occasion,sold,35.0,,,35.0,,,35.0,,,35.0,,,1.0,0.0,,0.0
https://www.ricardo.ch/fr/a/canon-ef-s-18-55mm-f-3.5-5.6-iii-zoom-1191177884/,CANON EF-S 18-55MM F3.5-5.6 III ZOOM,CANON EF-S 18-55MM F3.5-5.6 IS III,2021-12-31,D'occasion,not sold,55.0,,55.0,,,55.0,,,55.0,,,1.0,,,0.0,
https://www.ricardo.ch/fr/a/canon-ef-70-200mm-f-4.0l-is-usm-1190995026/,CANON EF 70-200MM F4.0 L IS USM,CANON EF 70-200MM F4.0 L IS USM,2021-12-05,D'occasion,not sold,600.0,782.3625,527.875,628.5333333333333,500.0,390.0,330.0,999.9,789.0,1331.0,8.0,8.0,15.0,731.0,-210.0,28.533333333333303
https://www.ricardo.ch/fr/a/canon-ef-50mm-f1.4-ultrasonic-1193199662/,CANON EF 50MM F1.4 USM,CANON EF 50MM F1.4 USM,2021-12-19,D'occasion,sold,220.0,318.8,214.0,201.66666666666666,89.0,179.0,150.0,950.0,249.0,239.0,5.0,2.0,9.0,19.0,-41.0,-18.333333333333343
https://www.ricardo.ch/fr/a/canon-ef-28-300mm-f-3.5-5.6l-is-usm-1193410960/,CANON EF 28-300MM F3.5-5.6 L IS USM,CANON EF 28-300MM F3.5-5.6 L IS USM,2022-01-05,D'occasion,not sold,829.0,729.0,1159.0,972.5,729.0,829.0,945.0,729.0,1489.0,1000.0,1.0,2.0,2.0,171.0,0.0,143.5
